pose_index,qx,qy,qz,qw,tx,ty,tz
0,-1.13704e-06,-1.42826e-06,-3.01532e-06,1,0.000151812,0.000193764,-2.53257e-05
1,-0.001971,0.0014503,0.073702,0.997277,0.442746,-0.0983512,0.0946255
2,-0.0047948,0.00668395,0.113943,0.993453,0.855804,-0.0013831,0.0940653
3,-0.00295068,0.00566975,0.161301,0.986885,1.04135,0.0150547,-0.0162712
4,0.00237149,0.00617005,0.222737,0.974856,1.20637,0.147438,-0.0360957
5,-0.00186498,0.0090411,0.295449,0.955314,1.4806,0.263709,-0.0764112
6,-0.00762753,0.0104513,0.334766,0.942213,1.72959,0.511905,-0.0658802
7,-0.00735627,0.022874,0.383712,0.92314,2.07434,0.67811,-0.151054
8,-0.00802509,0.0284871,0.440232,0.897396,2.42866,0.919632,-0.0468257
9,-0.00335516,0.0356951,0.474947,0.879284,2.68638,1.15844,-0.0938315
10,-0.00544187,0.0305042,0.542573,0.839437,2.93722,1.45453,-0.205891
11,-0.00660881,0.0341968,0.589981,0.806665,3.05086,1.73192,-0.235715
12,-0.00405147,0.0428426,0.654824,0.754555,3.19106,2.19976,-0.288603
13,-0.00127943,0.0464634,0.685718,0.726382,3.22527,2.37282,-0.277129
14,-0.0102402,0.0492173,0.732131,0.679307,3.34639,2.83421,-0.235448
15,-0.000488386,0.0525841,0.775521,0.629128,3.25911,3.11491,-0.376716
16,-0.00297519,0.0518972,0.814968,0.57717,3.44193,3.46477,-0.448176
17,-0.00205215,0.0573276,0.871073,0.487791,3.43173,3.77283,-0.553871
18,-0.00250413,0.0621066,0.906236,0.418178,3.15505,4.09347,-0.460243
19,-0.00179243,0.0644788,0.917638,0.392147,2.92231,4.37812,-0.479556
20,-0.00321358,0.0596604,0.941013,0.333055,2.70561,4.78348,-0.565087
21,-0.00533443,0.0647471,0.953871,0.293102,2.17852,5.0055,-0.451933
22,-0.00309043,0.0639917,0.967292,0.245443,1.89022,5.35621,-0.490841
23,0.000495016,0.0598624,0.982392,0.176984,1.6176,5.63092,-0.421731
24,0.00436078,0.0680867,0.99178,0.108251,1.29618,5.76212,-0.458486
25,0.00626964,0.0688481,0.997364,0.0220274,0.891001,5.85071,-0.462659
26,0.00938522,0.0709406,0.996924,-0.0319622,0.508527,5.91243,-0.471495
27,0.00778137,0.0710951,0.99199,-0.104121,-0.0989054,5.98376,-0.44123
28,0.002198,0.0674661,0.984969,-0.158995,-0.575551,5.83041,-0.477238
29,-0.00170982,0.0584707,0.976732,-0.206333,-0.981938,5.6413,-0.351998
30,0.000987482,0.0619228,0.957421,-0.281973,-1.48127,5.45478,-0.441993
31,-0.000988096,0.0613359,0.938334,-0.340244,-1.92989,5.25544,-0.356853
32,0.00201103,0.0667765,0.916348,-0.394771,-2.25675,5.13413,-0.280615
33,-0.000427217,0.0639277,0.88532,-0.460566,-2.84416,4.72448,-0.206037
34,-0.00753425,-0.0614934,-0.854471,0.515791,-3.04794,4.30062,-0.130594
35,-0.00977702,-0.0536106,-0.813859,0.578502,-3.22775,3.97654,-0.240948
36,-0.00949602,-0.0484223,-0.773751,0.631565,-3.48536,3.54477,-0.300096
37,-0.00700696,-0.0490525,-0.724403,0.687594,-3.57046,3.17932,-0.201989
38,0.000800859,-0.0419715,-0.696212,0.716608,-3.77267,2.60859,-0.210566
39,0.00936127,-0.0464572,-0.638908,0.767822,-3.78829,1.93729,-0.062422
40,0.00492435,-0.0364253,-0.613921,0.788511,-3.67836,1.21647,-0.0332502
