instance, iteration, num_poses, total_bytes_received, iteration_time_sec, total_time_sec, relative_change 
0,27,500,205599,0.035,1.217,0.0724447
0,29,500,220027,0.034,1.304,0.0164683
0,31,500,234455,0.033,1.39,0.0177349
0,51,500,375128,0.033,2.318,0.0569198
0,67,500,508587,0.034,3.035,0.0310248
0,79,500,587941,0.04,3.589,0.0371457
0,83,500,616797,0.033,3.767,0.0210936
0,85,500,631225,0.034,3.858,0.038529
0,87,500,645653,0.039,3.954,0.0101778
0,89,500,663688,0.034,4.051,0.0242291
0,91,500,678116,0.034,4.147,0.0455935
0,93,500,692544,0.042,4.242,0.00883512
0,99,500,735828,0.063,4.558,0.00680008
0,145,500,1074886,0.034,6.646,0.0119255
0,151,500,1121777,0.033,6.952,0.00577154
0,155,500,1150633,0.033,7.118,0.00757435
0,183,500,1349018,0.034,8.404,0.00963544
0,197,500,1460835,0.033,9.031,0.011801
0,209,500,1547403,0.045,9.608,0.00380575
0,227,500,1673648,0.043,10.454,0.00667469
0,229,500,1695290,0.04,10.546,0.00132092
0,231,500,1709718,0.035,10.634,0.000560168
