pose_index,qx,qy,qz,qw,tx,ty,tz
0,0.932581,-0.0405873,-0.0122212,0.358464,-2.45649,-33.4034,-87.1838
1,0.933949,0.0227551,0.000751677,0.356681,1.44258,-33.4981,-87.2654
2,0.930658,0.0931016,0.0169271,0.353443,5.17649,-32.9269,-87.3863
3,0.923269,0.156443,0.0325039,0.349347,8.69659,-32.027,-87.5087
4,0.914769,0.212999,0.0415923,0.340732,12.2845,-30.609,-87.7168
5,0.904177,0.258431,0.0726983,0.332254,15.5127,-28.8053,-88.0581
6,0.882517,0.324645,0.0896848,0.328215,18.4775,-26.6041,-88.2881
7,0.866326,0.36914,0.104943,0.319691,21.1851,-23.9626,-88.5416
8,0.839816,0.429642,0.121556,0.308774,23.5855,-21.122,-88.849
9,0.806744,0.488777,0.140363,0.30093,25.814,-17.9911,-89.1224
10,0.775829,0.538912,0.155657,0.288849,27.2316,-14.6289,-89.4001
11,0.74597,0.584337,0.168779,0.27128,28.3999,-11.1057,-89.8267
12,0.710401,0.628204,0.178271,0.262505,29.1086,-7.43853,-90.1207
13,0.678882,0.664765,0.195536,0.24284,29.2865,-3.72311,-90.3469
14,0.626663,0.716244,0.205703,0.227981,29.1589,-0.11773,-90.5436
15,0.566198,0.767379,0.209948,0.215572,28.4208,3.58563,-90.8519
16,0.537369,0.790039,0.228509,0.186697,27.2382,7.1196,-91.064
17,0.48879,0.819323,0.244608,0.173093,25.6634,10.4166,-91.2552
18,0.4283,0.855593,0.244955,0.156577,23.7217,13.6499,-91.5238
19,0.367289,0.883905,0.252445,0.14171,21.3735,16.4603,-91.9072
20,0.32229,0.902344,0.260106,0.119371,18.7999,18.8517,-92.0761
21,0.285988,0.917037,0.263453,0.0885771,15.8375,21.0106,-92.2367
22,0.205239,0.940407,0.260317,0.0758118,12.7145,22.9882,-92.3344
23,0.14457,0.950623,0.267383,0.062629,9.1665,24.2106,-92.467
24,0.109227,0.954767,0.274686,0.0322106,5.72685,25.1469,-92.5234
25,0.0546444,0.960826,0.271641,0.00624325,2.10421,25.5833,-92.5804
26,-0.00467667,0.961082,0.275977,-0.0116727,-1.40566,25.5884,-92.6022
27,-0.0792461,0.959421,0.268696,-0.0321534,-4.996,25.1147,-92.5175
28,-0.114277,0.95363,0.272226,-0.0585073,-8.51244,24.1077,-92.4962
29,-0.167742,0.945353,0.268094,-0.0793516,-11.9855,22.9442,-92.368
30,-0.230413,0.932393,0.261395,-0.096047,-15.0656,21.3334,-92.1376
31,-0.29232,0.913365,0.257513,-0.118326,-18.0286,19.2977,-91.8429
32,-0.348407,0.892847,0.251946,-0.13402,-20.6866,16.9683,-91.6106
33,-0.405224,0.867739,0.244228,-0.152236,-23.1315,14.3209,-91.5689
34,-0.455166,0.840441,0.238965,-0.171403,-25.1366,11.3381,-91.4267
35,-0.512697,0.805537,0.230697,-0.187167,-26.6105,7.98676,-91.0643
36,-0.554231,0.776736,0.217823,-0.205091,-27.869,4.44788,-90.8702
