pose_index,qx,qy,qz,qw,tx,ty,tz
0,0.932872,-0.0368122,-0.00868584,0.358216,-2.11431,-33.2843,-87.2098
1,0.934197,0.0337437,-0.00355056,0.355142,1.81972,-33.2244,-87.2444
2,0.931311,0.0802109,0.0198172,0.35473,5.5333,-32.5718,-87.441
3,0.922803,0.159261,0.0340444,0.349158,9.07957,-31.6267,-87.4974
4,0.914445,0.214179,0.0430761,0.340679,12.6477,-30.1538,-87.6584
5,0.903368,0.259149,0.0765896,0.333021,15.8775,-28.3183,-88.0748
6,0.880015,0.329567,0.0914282,0.329545,18.9125,-26.053,-88.2941
7,0.861802,0.380045,0.104094,0.319418,21.5149,-23.4529,-88.5322
8,0.8402,0.429036,0.120918,0.308821,23.8234,-20.601,-88.8132
9,0.808282,0.48688,0.142129,0.299045,26.0567,-17.5822,-89.1288
10,0.77158,0.545265,0.15712,0.287513,27.4456,-14.1979,-89.4322
11,0.741975,0.589024,0.170988,0.270715,28.5859,-10.633,-89.8142
12,0.713617,0.623078,0.188443,0.25887,29.2691,-7.00733,-90.0982
13,0.671247,0.670217,0.201729,0.244012,29.4949,-3.26519,-90.2299
14,0.624637,0.715651,0.21339,0.228333,29.3305,0.307436,-90.3712
15,0.569511,0.764341,0.214669,0.212972,28.6367,3.97849,-90.6667
16,0.529827,0.794511,0.230391,0.186965,27.4053,7.53017,-90.9061
17,0.485602,0.821619,0.242414,0.174264,25.8347,10.8351,-91.1528
18,0.41806,0.861447,0.240569,0.158938,23.8755,14.1157,-91.4179
19,0.366669,0.884884,0.249353,0.142678,21.5452,16.9264,-91.8277
20,0.309172,0.90639,0.258641,0.126392,18.9704,19.36,-91.932
21,0.277145,0.918185,0.267452,0.0927109,15.9728,21.4394,-92.1683
22,0.204866,0.939322,0.264614,0.0753931,12.8916,23.403,-92.2238
23,0.151884,0.949414,0.268237,0.0599399,9.36128,24.5909,-92.3232
24,0.103774,0.95544,0.274201,0.0343343,5.89383,25.5662,-92.3527
25,0.0474802,0.961073,0.272047,0.00865377,2.23887,25.963,-92.441
26,-0.0154948,0.959542,0.281052,-0.00698617,-1.20766,25.947,-92.4517
27,-0.0863573,0.957526,0.273656,-0.0282565,-4.78768,25.4162,-92.4246
28,-0.107828,0.954425,0.271601,-0.0606577,-8.16224,24.4249,-92.4048
29,-0.164549,0.946429,0.266566,-0.0783453,-11.4725,23.2997,-92.2703
30,-0.216891,0.935296,0.260433,-0.10176,-14.6265,21.668,-92.135
31,-0.282001,0.916773,0.257587,-0.116843,-17.6745,19.7899,-91.7986
32,-0.34037,0.894966,0.255444,-0.133913,-20.3514,17.382,-91.6199
33,-0.398293,0.869878,0.246456,-0.154708,-22.8311,14.7565,-91.56
34,-0.448636,0.843342,0.23958,-0.173497,-24.8301,11.6766,-91.4108
35,-0.501402,0.812828,0.230048,-0.187039,-26.4474,8.38581,-91.0864
36,-0.552235,0.779061,0.216007,-0.203573,-27.7291,4.85678,-90.8754
37,-0.606734,0.736545,0.202289,-0.220123,-28.5404,1.33902,-90.5756
38,-0.657699,0.687766,0.199384,-0.233786,-28.7988,-2.29482,-90.4486
39,0.702773,-0.63661,-0.185831,0.257497,-28.516,-6.07356,-90.2424
40,0.735899,-0.596834,-0.171929,0.269595,-27.8323,-9.47148,-89.9829
41,0.776774,-0.543281,-0.155122,0.278216,-26.8,-12.8509,-89.8096
42,0.817224,-0.480285,-0.142978,0.284654,-25.1826,-16.1741,-89.5714
43,0.838836,-0.432942,-0.124782,0.305524,-23.1865,-19.1247,-89.4078
44,0.863682,-0.376043,-0.117704,0.314311,-20.7977,-21.9839,-89.165
45,0.882599,-0.329604,-0.0965292,0.321032,-18.1863,-24.4302,-89.2251
46,0.908305,-0.257208,-0.080029,0.320034,-15.3665,-26.6335,-89.2604
47,0.921484,-0.203791,-0.0627772,0.324646,-12.2376,-28.1412,-89.2435
48,0.930037,-0.155567,-0.046123,0.329702,-8.94202,-29.3136,-89.0385
49,0.941226,-0.082224,-0.030415,0.326203,-5.50931,-30.2348,-89.0899
50,0.94346,-0.0224621,-0.0154061,0.330366,-1.94384,-30.7761,-89.2469
51,0.944242,0.0541229,-0.00554205,0.324726,1.63263,-30.8706,-89.2246
52,0.939384,0.101216,0.0100226,0.327433,5.21476,-30.289,-89.4456
53,0.933625,0.162688,0.0291746,0.317846,8.37274,-29.3159,-89.4855
54,0.924103,0.212294,0.0461364,0.314382,11.4233,-28.0135,-89.6488
55,0.916621,0.255705,0.0652971,0.300262,14.4887,-26.3818,-89.9518
56,0.900539,0.30914,0.0876868,0.292869,17.2635,-24.2856,-90.2662
57,0.871084,0.383222,0.099334,0.290666,19.6609,-21.8735,-90.4578
58,0.844037,0.440286,0.104828,0.287683,21.822,-19.1609,-90.6937
59,0.8186,0.487462,0.12807,0.27545,23.7313,-16.2866,-90.9945
60,0.77094,0.564652,0.131056,0.263901,25.077,-13.2727,-91.1584
61,0.755033,0.586972,0.152162,0.249471,26.0377,-10.1096,-91.4419
62,0.725111,0.624938,0.168195,0.235323,26.7264,-6.7735,-91.6973
63,0.679889,0.675285,0.180406,0.221798,26.9413,-3.2788,-91.8919
64,0.623078,0.729696,0.186537,0.210998,26.7952,-0.0244741,-92.1337
65,0.603105,0.748388,0.201453,0.188671,26.0827,3.1743,-92.377
66,0.533542,0.800163,0.205787,0.180895,25.1533,6.53295,-92.5941
67,0.481525,0.835959,0.210232,0.158456,23.586,9.54968,-92.7309
68,0.425778,0.866372,0.218372,0.142923,21.9332,12.4171,-93.03
69,0.386958,0.884961,0.226106,0.126427,19.7637,15.0229,-93.44
70,0.332427,0.907327,0.232515,0.110398,17.2391,17.2041,-93.6288
71,0.270762,0.927658,0.239672,0.0932451,14.62,19.3247,-93.6687
72,0.220973,0.942323,0.242934,0.0646671,11.6755,20.8912,-93.7573
73,0.177341,0.950888,0.249759,0.0445399,8.5687,22.0887,-93.8732
74,0.0989505,0.963085,0.248563,0.0298655,5.37624,22.9096,-93.9904
75,0.0397788,0.968772,0.244469,0.0115662,2.01825,23.2053,-93.9337
76,0.000745474,0.969144,0.246382,-0.00739787,-1.14029,23.1886,-94.1122
77,-0.0729432,0.967879,0.239037,-0.027405,-4.38698,22.8123,-93.992
78,-0.124608,0.96218,0.237219,-0.0490807,-7.51067,22.0101,-93.8928
79,-0.178219,0.952235,0.238236,-0.0687757,-10.5398,20.7463,-93.8494
80,-0.232862,0.939253,0.234835,-0.091826,-13.4625,19.2533,-93.6254
81,-0.279888,0.924481,0.233296,-0.112114,-16.1588,17.4353,-93.5283
82,-0.352368,0.899405,0.228087,-0.121995,-18.6982,15.4032,-93.1819
83,-0.401083,0.87715,0.223284,-0.141014,-20.8819,12.8939,-93.1027
84,-0.44676,0.854201,0.212372,-0.160136,-22.614,10.1259,-92.9234
85,-0.496285,0.826608,0.2007,-0.173607,-24.1408,7.16412,-92.7278
86,-0.568168,0.778505,0.193317,-0.183694,-25.3835,4.11656,-92.433
87,-0.611051,0.744634,0.18178,-0.197717,-26.0772,0.87371,-92.2686
88,-0.66811,0.693032,0.171687,-0.209426,-26.235,-2.43158,-92.1013
89,0.702627,-0.654251,-0.160411,0.229214,-26.0324,-5.80689,-91.8783
90,0.747074,-0.59859,-0.151401,0.246266,-25.4434,-9.09479,-91.6776
91,0.785223,-0.545991,-0.142516,0.254968,-24.474,-12.0666,-91.5119
92,0.808202,-0.50803,-0.123543,0.271022,-22.9619,-15.0595,-91.2452
93,0.845692,-0.441701,-0.121568,0.273729,-21.1075,-17.8124,-91.1098
94,0.875676,-0.377894,-0.104339,0.281959,-19.1374,-20.4058,-91.0741
95,0.893387,-0.333052,-0.0841541,0.289577,-16.5749,-22.6025,-91.0908
96,0.910165,-0.280298,-0.0627389,0.29849,-13.9951,-24.4639,-91.0321
